sampleID,mouse,Sex,Injection Age,Takedown Age,Injection Group,Tissue,batch,Repeated Sample
A1,MAD_416,Female,2 Months,8 Months,Cre-AAV,Liver,2,
A2,MAD_562,Female,2 Months,8 Months,Cre-AAV,Liver,2,
A3,SAD_678,Female,2 Months,8 Months,Cre-AAV,Liver,2,
A4,MAD_462,Female,2 Months,8 Months,Cre-AAV,Liver,2,
A5,SAD_626,Female,2 Months,8 Months,Cre-AAV,Liver,2,
A6,MAD_419,Male,2 Months,8 Months,Cre-AAV,Liver,2,
A7,MAD_404,Male,2 Months,8 Months,Cre-AAV,Liver,2,
A8,SAD_628,Male,2 Months,8 Months,Cre-AAV,Liver,2,
A9,SAD_672,Male,2 Months,8 Months,Cre-AAV,Liver,2,
A10,MAD_461,Male,2 Months,8 Months,Cre-AAV,Liver,2,
A11,MAD_271.2,Female,2 Months,8 Months,GFP Control,Liver,2,Repeat Sample (Was A12)
A12,SAD_532,Male,2 Months,8 Months,GFP Control,Liver,2,
A13,SAD_326.2,Male,2 Months,8 Months,GFP Control,Liver,2,Repeat Sample (Was A1)
A14,II2_403,Male,N/A,12 months, E2/E2; F/+,Liver,2,
A15,II2_419,Male,N/A,12 months, E2/E2; F/+,Liver,2,
A16,II2_431,Male,N/A,12 months, E2/E2; F/+,Liver,2,
A17,JJ3_283,Male,N/A,12 months, E3/E3; F/+,Liver,2,
A18,JJ3_308,Male,N/A,12 months, E3/E3; F/+,Liver,2,
A19,JJ3_316,Male,N/A,12 months, E3/E3; F/+,Liver,2,
A20,KK4_403,Male,N/A,12 months, E4/E4; F/+,Liver,2,
A21,KK4_410,Male,N/A,12 months, E4/E4; F/+,Liver,2,
A22,KK4_428,Male,N/A,12 months, E4/E4; F/+,Liver,2,
B1,MAD_416,Female,2 Months,8 Months,Cre-AAV,Brain,2,
B2,MAD_562,Female,2 Months,8 Months,Cre-AAV,Brain,2,
B3,SAD_678,Female,2 Months,8 Months,Cre-AAV,Brain,2,
B4,MAD_462,Female,2 Months,8 Months,Cre-AAV,Brain,2,
B5,SAD_626,Female,2 Months,8 Months,Cre-AAV,Brain,2,
B6,MAD_419,Male,2 Months,8 Months,Cre-AAV,Brain,2,
B7,MAD_404,Male,2 Months,8 Months,Cre-AAV,Brain,2,
B8,SAD_628,Male,2 Months,8 Months,Cre-AAV,Brain,2,
B9,SAD_672,Male,2 Months,8 Months,Cre-AAV,Brain,2,
B10,MAD_461,Male,2 Months,8 Months,Cre-AAV,Brain,2,
B11,MAD_271.2,Female,2 Months,8 Months,GFP Control,Brain,2,Repeat Sample (Was B12)
B12,SAD_532,Male,2 Months,8 Months,GFP Control,Brain,2,
B13,SAD_326.2,Male,2 Months,8 Months,GFP Control,Brain,2,Repeat Sample (Was B1)
B14,II2_403,Male,N/A,12 months, E2/E2; F/+,Brain,2,
B15,II2_419,Male,N/A,12 months, E2/E2; F/+,Brain,2,
B16,II2_431,Male,N/A,12 months, E2/E2; F/+,Brain,2,
B17,JJ3_283,Male,N/A,12 months, E3/E3; F/+,Brain,2,
B18,JJ3_308,Male,N/A,12 months, E3/E3; F/+,Brain,2,
B19,JJ3_316,Male,N/A,12 months, E3/E3; F/+,Brain,2,
B20,KK4_403,Male,N/A,12 months, E4/E4; F/+,Brain,2,
B21,KK4_410,Male,N/A,12 months, E4/E4; F/+,Brain,2,
B22,KK4_428,Male,N/A,12 months, E4/E4; F/+,Brain,2,
A1,SAD_326,Male,2 Months,8 Months,GFP Control,Liver,1,Repeat Sample (Now A13)
A2,GLAD_164,Male,2 Months,8 Months,GFP Control,Liver,1,
A3,MAD_261,Male,2 Months,8 Months,GFP Control,Liver,1,
A4,MAD_413,Male,2 Months,8 Months,GFP Control,Liver,1,
A5,SAD_587,Male,2 Months,8 Months,GFP Control,Liver,1,
A12,MAD_271,Female,2 Months,8 Months,GFP Control,Liver,1,Repeat Sample (Now A11)
A13,MAD_274,Female,2 Months,8 Months,GFP Control,Liver,1,
A14,SAD_535,Female,2 Months,8 Months,GFP Control,Liver,1,
A15,MAD_463,Female,2 Months,8 Months,GFP Control,Liver,1,
B1,SAD_326,Male,2 Months,8 Months,GFP Control,Brain,1,Repeat Sample (Now B13)
B2,GLAD_164,Male,2 Months,8 Months,GFP Control,Brain,1,
B3,MAD_261,Male,2 Months,8 Months,GFP Control,Brain,1,
B4,MAD_413,Male,2 Months,8 Months,GFP Control,Brain,1,
B5,SAD_587,Male,2 Months,8 Months,GFP Control,Brain,1,
B12,MAD_271,Female,2 Months,8 Months,GFP Control,Brain,1,Repeat Sample (Now B11)
B13,MAD_274,Female,2 Months,8 Months,GFP Control,Brain,1,
B14,SAD_535,Female,2 Months,8 Months,GFP Control,Brain,1,
B15,MAD_463,Female,2 Months,8 Months,GFP Control,Brain,1,
